Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Age,Time_Customer
Graduation,Together,26646,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,41,11.241846170694812
Graduation,Together,37760,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,79,12.687461070384744
Master,Married,76995,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,76,12.115238505924147
Master,Married,20559,1,0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,40,12.159045018035963
Graduation,Widow,65486,0,1,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,68,10.992696633058857
Master,Married,79143,0,0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,61,12.742219210524514
Graduation,Together,56046,0,0,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,60,12.347960601518169
Master,Together,38620,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,62,11.994770597616652
Graduation,Divorced,51813,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,53,12.076907807826307
Basic,Together,24594,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,46,11.4115964051281
Graduation,Single,38557,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,47,12.386291299616008
Graduation,Single,50785,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,63,11.660745942764054
Master,Together,56129,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,72,11.885254317337111
2n Cycle,Married,35688,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,52,12.712102233447641
Master,Married,59354,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,72,11.041978959184652
2n Cycle,Together,46344,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,53,12.39998083465095
Master,Single,30523,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,67,11.855137340260239
Master,Married,66835,0,0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,79,11.611463616638261
Graduation,Married,44794,0,1,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,59,10.918773143870169
Graduation,Together,77972,0,0,18,613,22,319,33,102,12,1,4,6,9,1,0,0,0,0,0,0,71,11.143281518443226
Graduation,Divorced,51537,0,1,27,787,20,204,0,0,92,3,2,2,11,8,0,0,0,0,0,0,73,12.413670369685894
PhD,Together,34320,1,0,66,4,1,9,3,0,0,1,1,0,2,8,0,0,0,0,0,0,39,11.225418728652881
PhD,Married,62745,0,1,89,562,21,464,28,10,32,3,7,8,11,5,0,0,0,0,0,0,60,12.128928040959089
Graduation,Divorced,102692,0,0,5,168,148,444,32,172,148,1,6,9,13,2,0,1,1,1,1,0,51,12.093335249868238
PhD,Divorced,69674,0,2,46,554,41,215,11,0,24,3,10,2,10,5,0,0,0,0,0,0,57,11.964653620539778
